DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Mar-2021,EQ,"727.80","727.80","706.05","728.15","714.90","719.05","714.38","767.80","203.00",13403595,"9,57,53,17,658.65",184280
12-Mar-2021,EQ,"749.00","752.10","723.00","745.35","723.25","728.15","737.27","767.80","203.00",10961076,"8,08,12,86,368.25",145204
10-Mar-2021,EQ,"757.50","759.10","743.00","750.75","744.30","745.35","747.93","767.80","203.00",5235249,"3,91,55,87,538.60",80675
09-Mar-2021,EQ,"755.55","759.40","738.65","748.40","748.00","750.75","750.81","767.80","203.00",8548163,"6,41,80,30,555.95",119726
08-Mar-2021,EQ,"762.70","767.80","744.20","748.95","747.80","748.40","754.53","767.80","203.00",15286852,"11,53,44,18,295.50",184855
05-Mar-2021,EQ,"752.45","761.00","730.50","752.45","749.65","748.95","748.31","765.70","203.00",17665200,"13,21,89,90,805.30",245042
04-Mar-2021,EQ,"733.25","765.70","715.85","729.85","751.55","752.45","749.50","765.70","203.00",30607959,"22,94,05,36,363.40",388068
03-Mar-2021,EQ,"732.00","754.95","723.40","720.50","733.25","729.85","739.56","754.95","203.00",19961472,"14,76,26,53,883.70",285506
02-Mar-2021,EQ,"697.60","724.70","696.00","692.90","721.25","720.50","708.76","724.70","203.00",11486477,"8,14,11,58,368.05",170602
01-Mar-2021,EQ,"684.60","704.65","673.30","675.90","697.60","692.90","688.54","711.35","203.00",11600468,"7,98,74,21,582.95",179958
26-Feb-2021,EQ,"697.10","703.45","668.00","704.30","668.25","675.90","686.34","711.35","203.00",19909990,"13,66,51,13,847.35",220978
25-Feb-2021,EQ,"669.40","711.35","667.15","665.20","705.00","704.30","695.14","711.35","203.00",18596690,"12,92,72,21,549.30",226639
24-Feb-2021,EQ,"666.70","671.00","653.40","662.00","666.40","665.20","665.04","682.70","203.00",3919187,"2,60,63,99,185.80",57372
23-Feb-2021,EQ,"680.00","682.70","659.25","673.80","662.00","662.00","668.70","682.70","203.00",11247164,"7,52,09,40,821.50",160718
22-Feb-2021,EQ,"658.80","678.50","649.00","653.50","672.00","673.80","665.66","678.50","203.00",16739107,"11,14,24,95,641.05",200480
19-Feb-2021,EQ,"664.95","676.65","628.65","664.05","655.00","653.50","658.84","676.65","203.00",17553743,"11,56,50,22,396.50",219949
18-Feb-2021,EQ,"660.80","670.00","649.05","655.75","664.20","664.05","659.78","670.00","203.00",13189027,"8,70,18,91,515.10",161477
17-Feb-2021,EQ,"658.00","670.00","646.90","636.55","654.00","655.75","658.20","670.00","203.00",34868085,"22,95,01,89,490.75",469652
16-Feb-2021,EQ,"629.80","643.50","628.05","627.75","637.40","636.55","637.44","643.50","203.00",15120148,"9,63,81,25,111.15",241095
15-Feb-2021,EQ,"617.95","639.90","610.80","616.60","625.80","627.75","627.65","639.90","203.00",15146033,"9,50,64,62,378.65",184606
12-Feb-2021,EQ,"592.30","621.65","586.10","591.85","611.75","616.60","606.51","621.65","203.00",24953701,"15,13,46,77,388.95",253089
11-Feb-2021,EQ,"576.85","593.70","576.30","576.85","590.25","591.85","585.92","594.00","203.00",10595917,"6,20,83,10,908.15",98093
10-Feb-2021,EQ,"584.75","587.00","550.50","581.95","578.40","576.85","567.22","594.00","203.00",19987392,"11,33,72,93,385.70",202060
09-Feb-2021,EQ,"589.65","589.80","573.20","582.05","582.20","581.95","581.89","594.00","203.00",10917915,"6,35,30,78,363.25",110355
08-Feb-2021,EQ,"572.15","594.00","571.10","566.95","583.30","582.05","583.52","594.00","203.00",8887710,"5,18,61,33,387.80",118318
05-Feb-2021,EQ,"571.00","573.95","561.65","568.40","567.60","566.95","568.70","573.95","203.00",5586868,"3,17,72,37,232.50",65457
04-Feb-2021,EQ,"557.90","573.40","554.05","560.10","568.70","568.40","565.59","573.40","203.00",6850462,"3,87,45,50,036.00",76877
03-Feb-2021,EQ,"549.55","562.30","542.00","550.80","560.00","560.10","555.66","562.50","203.00",7462289,"4,14,65,13,325.30",73872
02-Feb-2021,EQ,"548.70","554.85","540.00","542.75","553.30","550.80","547.68","562.50","203.00",7160471,"3,92,16,59,690.50",72629
01-Feb-2021,EQ,"514.30","545.45","500.10","509.70","543.80","542.75","521.81","562.50","203.00",10259084,"5,35,32,54,917.15",144291
29-Jan-2021,EQ,"527.55","533.10","507.10","519.10","510.00","509.70","520.22","562.50","203.00",6781488,"3,52,78,76,648.40",81398
28-Jan-2021,EQ,"515.70","527.95","507.05","518.85","520.30","519.10","519.12","562.50","203.00",5707393,"2,96,28,07,750.10",72088
27-Jan-2021,EQ,"528.25","536.00","512.50","523.65","516.65","518.85","523.59","562.50","203.00",8920054,"4,67,04,11,926.70",105470
25-Jan-2021,EQ,"543.00","547.45","522.00","535.80","523.40","523.65","532.01","562.50","203.00",5816153,"3,09,42,42,490.10",75883
22-Jan-2021,EQ,"549.50","557.50","531.70","547.65","535.00","535.80","545.45","562.50","203.00",6843849,"3,73,30,08,812.95",86849
21-Jan-2021,EQ,"561.85","561.85","542.65","558.60","549.75","547.65","551.88","562.50","203.00",8870257,"4,89,53,06,507.45",117414
20-Jan-2021,EQ,"529.00","562.50","529.00","532.80","556.25","558.60","550.15","562.50","203.00",14440729,"7,94,45,85,144.15",159124
19-Jan-2021,EQ,"516.00","535.00","516.00","515.50","533.00","532.80","527.84","542.45","203.00",6694907,"3,53,38,60,465.95",82187
18-Jan-2021,EQ,"531.00","532.30","503.80","527.95","511.10","515.50","517.81","542.45","203.00",6258367,"3,24,06,68,909.45",83239
15-Jan-2021,EQ,"536.80","541.00","524.00","536.95","528.00","527.95","531.23","542.45","203.00",5427713,"2,88,33,38,254.60",72798
14-Jan-2021,EQ,"537.95","542.45","530.10","536.65","534.55","536.95","536.54","542.45","203.00",6066782,"3,25,50,66,784.05",73956
13-Jan-2021,EQ,"515.90","540.00","514.60","511.25","533.90","536.65","527.18","540.00","203.00",11045555,"5,82,29,48,497.45",118708
12-Jan-2021,EQ,"507.00","520.65","502.55","508.35","510.70","511.25","514.38","527.35","203.00",6751375,"3,47,27,75,544.95",94103
11-Jan-2021,EQ,"520.45","522.50","504.00","517.00","506.95","508.35","509.17","527.35","203.00",7156036,"3,64,36,21,094.35",112381
08-Jan-2021,EQ,"520.00","527.35","514.50","513.85","516.25","517.00","521.14","527.35","203.00",7272250,"3,78,98,49,024.45",105599
07-Jan-2021,EQ,"500.10","520.90","499.50","496.80","513.45","513.85","512.28","520.90","203.00",10295126,"5,27,39,86,854.40",116095
06-Jan-2021,EQ,"501.80","504.95","489.50","499.45","495.00","496.80","499.09","510.90","203.00",5203982,"2,59,72,32,899.80",55841
05-Jan-2021,EQ,"498.90","504.50","492.00","498.90","498.75","499.45","499.14","510.90","203.00",5135408,"2,56,32,94,993.60",57609
04-Jan-2021,EQ,"507.00","510.90","495.20","503.85","498.10","498.90","501.35","510.90","203.00",9998803,"5,01,29,48,738.45",88263
01-Jan-2021,EQ,"485.00","508.00","482.55","483.75","505.00","503.85","495.57","508.00","203.00",7815730,"3,87,32,34,425.90",79171
