DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Mar-2020,EQ,"436.00","457.90","393.00","433.25","400.00","400.10","417.65","959.80","393.00",2985330,"1,24,68,19,008.05",68144
23-Mar-2020,EQ,"481.30","500.00","397.05","529.40","435.95","433.25","427.73","959.80","397.05",4474891,"1,91,40,27,239.55",81529
20-Mar-2020,EQ,"495.00","564.70","488.05","491.05","543.55","529.40","520.89","959.80","481.00",3034742,"1,58,07,53,416.05",52836
19-Mar-2020,EQ,"481.00","518.80","481.00","527.05","492.00","491.05","501.97","959.80","481.00",3899814,"1,95,76,07,694.05",70440
18-Mar-2020,EQ,"568.00","568.00","492.40","555.65","541.00","527.05","528.72","959.80","492.40",6838559,"3,61,56,80,147.35",149220
17-Mar-2020,EQ,"571.30","585.65","553.25","576.90","556.35","555.65","566.76","959.80","505.00",2995383,"1,69,76,66,456.65",63189
16-Mar-2020,EQ,"580.00","599.50","559.00","604.95","575.00","576.90","581.23","959.80","505.00",2976559,"1,73,00,73,851.85",55018
13-Mar-2020,EQ,"537.60","631.65","505.00","559.85","607.00","604.95","582.69","959.80","505.00",6184972,"3,60,39,45,652.60",111301
12-Mar-2020,EQ,"609.75","610.00","555.00","625.25","564.90","559.85","572.46","959.80","555.00",4760006,"2,72,49,11,938.30",69235
11-Mar-2020,EQ,"635.00","640.50","616.00","634.60","625.10","625.25","625.74","959.80","616.00",2989772,"1,87,08,29,390.05",69478
09-Mar-2020,EQ,"648.00","654.00","625.30","665.05","635.00","634.60","636.89","959.80","625.30",2775879,"1,76,79,39,154.75",70846
06-Mar-2020,EQ,"650.00","670.90","645.00","680.30","663.30","665.05","661.76","959.80","633.60",1694832,"1,12,15,63,803.85",34451
05-Mar-2020,EQ,"692.80","695.50","678.00","689.50","681.00","680.30","684.11","959.80","633.60",2162532,"1,47,94,09,090.10",28350
04-Mar-2020,EQ,"702.50","708.80","682.00","700.05","689.00","689.50","692.35","959.80","633.60",2842415,"1,96,79,49,811.75",41222
03-Mar-2020,EQ,"671.00","704.60","671.00","668.45","702.50","700.05","687.49","959.80","633.60",3350249,"2,30,32,53,691.20",39033
02-Mar-2020,EQ,"701.00","701.50","657.30","687.20","669.00","668.45","685.47","959.80","633.60",2245349,"1,53,91,18,838.90",38861
28-Feb-2020,EQ,"687.00","707.50","684.00","712.85","686.00","687.20","695.44","959.80","633.60",4389931,"3,05,29,49,332.95",61459
27-Feb-2020,EQ,"702.80","717.50","686.00","702.80","710.40","712.85","699.48","959.80","633.60",3350636,"2,34,36,87,961.35",58319
26-Feb-2020,EQ,"718.00","722.20","700.00","720.40","700.00","702.80","707.06","959.80","633.60",2841126,"2,00,88,54,423.00",39543
25-Feb-2020,EQ,"727.00","732.90","715.10","724.90","720.45","720.40","722.86","959.80","633.60",2272073,"1,64,23,95,388.70",34787
24-Feb-2020,EQ,"748.00","748.00","722.20","751.30","723.55","724.90","733.18","959.80","633.60",2357961,"1,72,88,21,069.05",56686
20-Feb-2020,EQ,"750.00","767.80","745.90","757.15","750.75","751.30","757.10","959.80","633.60",2128575,"1,61,15,51,877.85",34299
19-Feb-2020,EQ,"730.00","759.75","726.30","723.90","755.80","757.15","746.77","959.80","633.60",2067868,"1,54,42,28,130.60",40522
18-Feb-2020,EQ,"737.35","741.20","715.55","737.40","723.55","723.90","723.96","959.80","633.60",1750918,"1,26,75,91,377.85",28809
17-Feb-2020,EQ,"743.00","750.00","733.50","743.05","737.30","737.40","740.78","959.80","633.60",1516432,"1,12,33,36,011.80",26980
14-Feb-2020,EQ,"754.50","770.85","737.10","752.25","741.05","743.05","753.99","959.80","633.60",3399473,"2,56,31,58,513.90",54660
13-Feb-2020,EQ,"755.35","764.95","745.30","755.35","754.50","752.25","755.03","959.80","633.60",1877016,"1,41,71,97,772.90",27887
12-Feb-2020,EQ,"762.10","774.45","754.50","759.30","755.40","755.35","763.38","959.80","633.60",1845607,"1,40,89,00,418.65",31588
11-Feb-2020,EQ,"760.00","769.00","754.10","757.55","758.80","759.30","760.05","959.80","633.60",3381311,"2,56,99,53,589.90",84051
10-Feb-2020,EQ,"787.00","789.70","752.00","787.65","753.85","757.55","766.09","959.80","633.60",4243828,"3,25,11,35,890.80",65425
07-Feb-2020,EQ,"801.00","803.60","785.55","801.00","786.50","787.65","793.05","959.80","633.60",1082529,"85,84,99,118.25",17016
06-Feb-2020,EQ,"802.40","806.65","793.30","799.90","799.50","801.00","800.90","959.80","633.60",1217580,"97,51,58,293.20",31723
05-Feb-2020,EQ,"793.70","802.10","788.05","793.70","798.45","799.90","795.11","959.80","633.60",1058399,"84,15,38,723.20",29763
04-Feb-2020,EQ,"780.05","796.35","780.05","780.40","792.80","793.70","790.20","959.80","633.60",1071567,"84,67,51,780.65",20505
03-Feb-2020,EQ,"759.00","783.00","750.25","759.40","777.00","780.40","768.16","959.80","633.60",1534961,"1,17,90,94,166.95",45570
01-Feb-2020,EQ,"775.00","789.75","754.55","778.90","761.20","759.40","770.45","959.80","633.60",1136808,"87,58,52,497.70",18436
31-Jan-2020,EQ,"793.10","797.95","775.55","791.25","777.50","778.90","783.81","959.80","633.60",1299292,"1,01,84,04,339.40",24847
30-Jan-2020,EQ,"809.00","809.00","787.25","802.30","791.00","791.25","794.77","959.80","633.60",1325227,"1,05,32,45,936.55",25394
29-Jan-2020,EQ,"814.00","822.85","800.00","808.90","804.20","802.30","814.83","959.80","633.60",1833108,"1,49,36,70,094.20",30512
28-Jan-2020,EQ,"817.50","823.85","797.25","813.10","810.00","808.90","813.60","959.80","633.60",1783600,"1,45,11,29,789.60",39452
27-Jan-2020,EQ,"815.00","836.90","810.00","822.00","811.35","813.10","824.30","959.80","633.60",2808890,"2,31,53,79,475.85",46281
24-Jan-2020,EQ,"808.00","824.40","795.95","808.90","821.55","822.00","816.24","959.80","633.60",1925862,"1,57,19,67,443.45",33434
23-Jan-2020,EQ,"785.00","811.95","783.00","792.90","809.60","808.90","802.94","959.80","633.60",2587185,"2,07,73,44,421.50",42901
22-Jan-2020,EQ,"770.85","799.00","767.10","771.65","792.00","792.90","787.36","959.80","633.60",3081732,"2,42,64,30,399.80",48288
21-Jan-2020,EQ,"779.00","781.10","763.45","772.80","770.00","771.65","770.36","959.80","633.60",1661273,"1,27,97,71,006.00",26036
20-Jan-2020,EQ,"767.60","777.50","762.45","768.25","772.40","772.80","771.14","959.80","633.60",1575278,"1,21,47,52,612.00",27949
17-Jan-2020,EQ,"715.00","772.00","711.00","756.05","767.90","768.25","757.21","959.80","633.60",4918914,"3,72,46,49,474.15",77808
16-Jan-2020,EQ,"767.35","771.00","753.10","766.40","755.90","756.05","760.86","959.80","633.60",1037376,"78,92,99,494.80",20850
15-Jan-2020,EQ,"758.00","769.00","747.50","759.90","767.90","766.40","756.72","959.80","633.60",1516061,"1,14,72,34,258.70",22328
14-Jan-2020,EQ,"762.80","767.90","753.10","759.60","759.90","759.90","760.60","959.80","633.60",1186220,"90,22,35,067.40",24735
13-Jan-2020,EQ,"757.00","765.00","757.00","756.25","761.40","759.60","761.58","959.80","633.60",832679,"63,41,51,733.05",13743
10-Jan-2020,EQ,"756.80","766.50","751.00","757.30","755.40","756.25","758.37","959.80","633.60",1261460,"95,66,53,080.90",22582
09-Jan-2020,EQ,"752.95","761.30","750.05","742.65","755.20","757.30","756.40","959.80","633.60",1471931,"1,11,33,75,932.80",27280
08-Jan-2020,EQ,"735.40","749.90","733.60","742.30","742.70","742.65","743.64","959.80","633.60",1312487,"97,60,18,246.65",20705
07-Jan-2020,EQ,"738.20","756.00","735.50","737.00","742.30","742.30","743.67","959.80","633.60",1104012,"82,10,25,413.60",19977
06-Jan-2020,EQ,"755.40","755.80","735.00","756.65","735.00","737.00","741.97","959.80","633.60",957541,"71,04,66,463.80",18763
03-Jan-2020,EQ,"769.95","769.95","751.50","766.35","756.45","756.65","759.61","959.80","633.60",1411458,"1,07,21,52,163.45",24417
02-Jan-2020,EQ,"742.00","768.50","741.00","742.50","765.30","766.35","759.06","959.80","633.60",2413731,"1,83,21,54,895.55",35565
01-Jan-2020,EQ,"746.80","747.40","738.60","743.65","742.70","742.50","742.83","959.80","633.60",685313,"50,90,74,279.20",11402
