DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Dec-2024,EQ,"1,610.55","1,611.85","1,570.05","1,602.55","1,580.05","1,578.65","1,580.99","1,779.00","960.00",14645786,"23,15,48,51,794.85",261312
09-Dec-2024,EQ,"1,595.90","1,605.90","1,589.05","1,597.85","1,604.00","1,602.55","1,600.86","1,779.00","960.00",4264409,"6,82,67,40,662.20",121567
06-Dec-2024,EQ,"1,618.00","1,624.65","1,594.80","1,615.35","1,597.75","1,597.85","1,605.60","1,779.00","960.00",4296866,"6,89,90,26,930.30",147791
05-Dec-2024,EQ,"1,600.00","1,622.05","1,585.35","1,584.10","1,613.25","1,615.35","1,605.51","1,779.00","960.00",10324005,"16,57,53,10,077.75",289816
04-Dec-2024,EQ,"1,629.75","1,630.50","1,582.40","1,620.55","1,583.65","1,584.10","1,592.89","1,779.00","960.00",8772014,"13,97,28,58,885.90",286888
03-Dec-2024,EQ,"1,652.90","1,652.90","1,613.15","1,643.60","1,618.90","1,620.55","1,622.78","1,779.00","960.00",9131055,"14,81,77,37,498.65",178499
02-Dec-2024,EQ,"1,627.15","1,646.20","1,617.20","1,627.15","1,642.00","1,643.60","1,636.44","1,779.00","960.00",3790108,"6,20,22,83,532.30",190206
29-Nov-2024,EQ,"1,551.15","1,648.90","1,551.15","1,560.40","1,629.00","1,627.15","1,625.07","1,779.00","960.00",10775801,"17,51,14,26,034.20",351472
28-Nov-2024,EQ,"1,571.00","1,588.50","1,556.95","1,577.65","1,564.95","1,560.40","1,566.45","1,779.00","960.00",6714728,"10,51,82,83,541.95",221954
27-Nov-2024,EQ,"1,569.15","1,583.75","1,554.15","1,577.25","1,577.00","1,577.65","1,571.96","1,779.00","960.00",4982785,"7,83,27,37,320.30",162967
26-Nov-2024,EQ,"1,590.00","1,604.85","1,566.00","1,578.75","1,577.95","1,577.25","1,579.11","1,779.00","960.00",4030593,"6,36,47,54,302.00",143576
25-Nov-2024,EQ,"1,581.95","1,609.25","1,562.55","1,569.30","1,583.45","1,578.75","1,580.42","1,779.00","960.00",12155641,"19,21,09,95,879.00",212297
22-Nov-2024,EQ,"1,533.00","1,575.00","1,520.20","1,525.15","1,568.40","1,569.30","1,551.40","1,779.00","941.95",7640321,"11,85,31,93,827.45",188502
21-Nov-2024,EQ,"1,538.00","1,542.05","1,511.00","1,525.50","1,524.00","1,525.15","1,521.54","1,779.00","941.95",7356679,"11,19,34,72,815.00",284902
19-Nov-2024,EQ,"1,537.00","1,558.00","1,519.30","1,537.00","1,524.30","1,525.50","1,545.47","1,779.00","941.95",6238241,"9,64,09,90,222.00",151761
18-Nov-2024,EQ,"1,568.95","1,568.95","1,529.45","1,550.50","1,542.20","1,537.00","1,542.26","1,779.00","941.95",4816078,"7,42,76,37,407.05",193391
14-Nov-2024,EQ,"1,550.00","1,568.00","1,536.55","1,550.45","1,554.40","1,550.50","1,546.01","1,779.00","933.80",5139154,"7,94,51,64,690.00",167251
13-Nov-2024,EQ,"1,559.90","1,572.50","1,546.35","1,555.65","1,552.00","1,550.45","1,555.69","1,779.00","933.80",5816699,"9,04,89,53,940.45",191024
12-Nov-2024,EQ,"1,568.80","1,595.00","1,550.10","1,560.55","1,552.55","1,555.65","1,570.70","1,779.00","933.80",4479934,"7,03,66,45,512.50",192555
11-Nov-2024,EQ,"1,561.00","1,581.60","1,551.80","1,569.90","1,556.90","1,560.55","1,566.93","1,779.00","933.80",3664301,"5,74,17,10,679.15",148436
08-Nov-2024,EQ,"1,571.00","1,579.50","1,558.85","1,575.80","1,570.30","1,569.90","1,570.07","1,779.00","929.00",3096384,"4,86,15,24,408.10",183724
07-Nov-2024,EQ,"1,595.95","1,608.55","1,569.65","1,598.80","1,573.70","1,575.80","1,586.68","1,779.00","929.00",5160994,"8,18,88,48,584.00",196604
06-Nov-2024,EQ,"1,583.00","1,610.75","1,566.50","1,578.40","1,597.25","1,598.80","1,593.11","1,779.00","929.00",6631728,"10,56,50,53,107.70",254078
05-Nov-2024,EQ,"1,583.25","1,593.90","1,566.00","1,591.25","1,587.45","1,578.40","1,577.00","1,779.00","929.00",6473278,"10,20,83,32,409.80",215994
04-Nov-2024,EQ,"1,619.15","1,623.85","1,573.05","1,616.45","1,589.90","1,591.25","1,590.15","1,779.00","929.00",6094029,"9,69,04,29,950.70",222617
01-Nov-2024,EQ,"1,620.00","1,626.35","1,605.35","1,612.60","1,613.80","1,616.45","1,619.32","1,779.00","895.45",279441,"45,25,04,411.05",15038
31-Oct-2024,EQ,"1,634.00","1,638.80","1,602.15","1,633.35","1,620.00","1,612.60","1,615.91","1,779.00","895.45",4921681,"7,95,30,03,828.75",235785
30-Oct-2024,EQ,"1,627.80","1,651.00","1,617.80","1,637.10","1,636.50","1,633.35","1,634.76","1,779.00","895.45",4622628,"7,55,68,94,648.75",159697
29-Oct-2024,EQ,"1,650.50","1,667.95","1,610.00","1,663.35","1,641.90","1,637.10","1,632.06","1,779.00","895.45",6990747,"11,40,93,14,583.90",232073
28-Oct-2024,EQ,"1,658.15","1,677.85","1,645.65","1,666.00","1,665.05","1,663.35","1,664.65","1,779.00","895.45",2811651,"4,68,04,28,475.10",133010
25-Oct-2024,EQ,"1,681.10","1,684.75","1,655.85","1,678.45","1,670.75","1,666.00","1,669.27","1,779.00","895.45",3434386,"5,73,29,17,769.50",188065
24-Oct-2024,EQ,"1,687.00","1,693.00","1,657.40","1,685.80","1,682.95","1,678.45","1,674.95","1,779.00","895.45",3669575,"6,14,63,55,468.00",182028
23-Oct-2024,EQ,"1,690.00","1,701.35","1,680.10","1,692.25","1,685.05","1,685.80","1,689.64","1,779.00","895.45",2764757,"4,67,14,54,657.35",96507
22-Oct-2024,EQ,"1,692.00","1,712.90","1,687.35","1,692.55","1,690.00","1,692.25","1,696.40","1,779.00","895.45",3070057,"5,20,80,31,068.75",196059
21-Oct-2024,EQ,"1,705.55","1,708.95","1,662.00","1,707.85","1,690.00","1,692.55","1,687.52","1,779.00","895.45",3836168,"6,47,35,93,466.35",212409
18-Oct-2024,EQ,"1,710.00","1,716.10","1,685.20","1,701.15","1,702.00","1,707.85","1,704.33","1,779.00","895.45",4154915,"7,08,13,60,280.10",183111
17-Oct-2024,EQ,"1,736.75","1,737.95","1,694.40","1,733.95","1,701.95","1,701.15","1,711.22","1,779.00","895.45",4373392,"7,48,38,52,555.90",148163
16-Oct-2024,EQ,"1,720.00","1,742.25","1,717.10","1,717.25","1,732.00","1,733.95","1,729.33","1,779.00","895.45",3299887,"5,70,65,94,336.30",155634
15-Oct-2024,EQ,"1,708.00","1,732.75","1,699.95","1,695.60","1,718.00","1,717.25","1,717.32","1,779.00","895.45",5891334,"10,11,72,78,156.90",160508
14-Oct-2024,EQ,"1,686.00","1,710.05","1,679.35","1,687.40","1,693.95","1,695.60","1,694.12","1,779.00","895.45",2069815,"3,50,65,14,940.50",128955
11-Oct-2024,EQ,"1,678.10","1,690.25","1,658.65","1,678.10","1,683.10","1,687.40","1,679.94","1,779.00","895.45",2367678,"3,97,75,63,789.10",108341
10-Oct-2024,EQ,"1,686.60","1,698.95","1,665.00","1,678.10","1,676.35","1,678.10","1,673.96","1,779.00","895.45",5047657,"8,44,95,64,270.45",171894
09-Oct-2024,EQ,"1,666.75","1,704.60","1,661.05","1,657.45","1,685.25","1,678.10","1,684.51","1,779.00","895.45",3414614,"5,75,19,45,660.05",169649
08-Oct-2024,EQ,"1,662.60","1,679.50","1,652.00","1,662.05","1,660.70","1,657.45","1,661.86","1,779.00","895.45",5224335,"8,68,21,31,114.85",153127
07-Oct-2024,EQ,"1,651.00","1,670.00","1,642.45","1,640.90","1,662.60","1,662.05","1,657.94","1,779.00","895.45",5387707,"8,93,25,05,100.45",336860
04-Oct-2024,EQ,"1,670.05","1,686.70","1,630.15","1,673.45","1,644.00","1,640.90","1,653.76","1,779.00","895.45",8576527,"14,18,35,50,969.65",291710
03-Oct-2024,EQ,"1,665.00","1,695.00","1,665.00","1,698.70","1,684.60","1,673.45","1,679.94","1,779.00","895.45",7200276,"12,09,60,44,656.35",238761
01-Oct-2024,EQ,"1,705.00","1,722.85","1,696.00","1,709.55","1,704.75","1,698.70","1,706.30","1,779.00","895.45",3649090,"6,22,64,49,706.40",133978
30-Sep-2024,EQ,"1,714.00","1,733.00","1,704.20","1,734.60","1,713.35","1,709.55","1,713.34","1,779.00","895.45",6907288,"11,83,45,51,074.85",214418
27-Sep-2024,EQ,"1,755.20","1,763.45","1,722.50","1,771.10","1,737.00","1,734.60","1,734.84","1,779.00","895.45",7116861,"12,34,65,79,695.75",269204
26-Sep-2024,EQ,"1,770.00","1,779.00","1,746.15","1,760.40","1,767.15","1,771.10","1,765.58","1,779.00","895.45",7417423,"13,09,60,38,434.05",185575
25-Sep-2024,EQ,"1,755.55","1,766.90","1,745.00","1,756.65","1,761.00","1,760.40","1,754.28","1,767.55","895.45",4017103,"7,04,71,42,964.35",180716
24-Sep-2024,EQ,"1,752.00","1,767.55","1,746.10","1,750.45","1,757.00","1,756.65","1,758.03","1,767.55","895.45",7579205,"13,32,44,94,276.70",248064
23-Sep-2024,EQ,"1,719.00","1,754.25","1,719.00","1,711.75","1,751.15","1,750.45","1,741.76","1,754.25","895.45",5001827,"8,71,19,62,679.50",203386
20-Sep-2024,EQ,"1,671.00","1,723.40","1,666.00","1,664.85","1,710.00","1,711.75","1,703.23","1,723.40","895.45",21646275,"36,86,85,31,854.95",401560
19-Sep-2024,EQ,"1,647.70","1,711.70","1,647.70","1,654.90","1,672.00","1,664.85","1,673.51","1,711.70","895.45",8498240,"14,22,18,48,051.35",258313
18-Sep-2024,EQ,"1,655.20","1,670.95","1,647.85","1,661.75","1,650.10","1,654.90","1,659.44","1,670.95","895.45",3171195,"5,26,24,05,080.20",149155
17-Sep-2024,EQ,"1,650.00","1,666.05","1,638.50","1,635.45","1,663.00","1,661.75","1,657.10","1,666.05","895.45",4223072,"6,99,80,72,025.45",166923
16-Sep-2024,EQ,"1,634.45","1,652.95","1,630.10","1,634.45","1,636.45","1,635.45","1,642.61","1,654.90","895.45",3762063,"6,17,95,97,499.95",139236
13-Sep-2024,EQ,"1,651.00","1,654.90","1,631.05","1,646.75","1,632.20","1,634.45","1,635.27","1,654.90","883.60",5609618,"9,17,32,16,407.55",194137
12-Sep-2024,EQ,"1,596.15","1,652.80","1,590.10","1,577.80","1,634.00","1,646.75","1,626.30","1,652.80","883.60",12204496,"19,84,82,02,397.45",296745
11-Sep-2024,EQ,"1,578.45","1,598.90","1,574.45","1,577.85","1,579.40","1,577.80","1,586.85","1,608.40","883.60",5994914,"9,51,30,33,635.80",197562
10-Sep-2024,EQ,"1,545.15","1,586.00","1,545.15","1,542.65","1,577.10","1,577.85","1,571.48","1,608.40","883.60",6163457,"9,68,57,64,900.40",207249
09-Sep-2024,EQ,"1,523.25","1,546.75","1,523.25","1,539.25","1,541.00","1,542.65","1,539.52","1,608.40","883.60",3912508,"6,02,33,87,316.00",107173
06-Sep-2024,EQ,"1,552.80","1,555.60","1,530.20","1,547.20","1,540.10","1,539.25","1,539.41","1,608.40","858.40",5497805,"8,46,33,94,332.35",211219
05-Sep-2024,EQ,"1,559.00","1,563.00","1,541.50","1,561.90","1,545.05","1,547.20","1,550.76","1,608.40","858.40",5652812,"8,76,61,44,144.70",222657
04-Sep-2024,EQ,"1,558.00","1,566.00","1,542.00","1,560.60","1,561.30","1,561.90","1,552.00","1,608.40","858.40",5213811,"8,09,18,28,843.80",142070
03-Sep-2024,EQ,"1,579.00","1,579.00","1,558.60","1,571.35","1,559.05","1,560.60","1,564.07","1,608.40","858.40",4546295,"7,11,07,23,534.90",104090
02-Sep-2024,EQ,"1,605.00","1,605.00","1,565.50","1,589.05","1,576.75","1,571.35","1,577.22","1,608.40","858.40",4890314,"7,71,31,18,140.00",187443
30-Aug-2024,EQ,"1,576.00","1,608.40","1,561.60","1,565.90","1,584.00","1,589.05","1,589.37","1,608.40","847.05",37820442,"60,11,06,58,279.35",328853
29-Aug-2024,EQ,"1,565.00","1,571.70","1,545.95","1,556.35","1,565.00","1,565.90","1,561.10","1,571.70","847.05",8036748,"12,54,61,76,112.90",222292
28-Aug-2024,EQ,"1,527.95","1,564.50","1,521.65","1,522.75","1,554.00","1,556.35","1,547.48","1,564.50","847.05",6225319,"9,63,35,26,775.10",193408
27-Aug-2024,EQ,"1,518.00","1,526.35","1,502.00","1,513.55","1,520.65","1,522.75","1,519.06","1,536.25","847.05",3965066,"6,02,31,66,020.95",120915
26-Aug-2024,EQ,"1,509.00","1,520.70","1,505.00","1,506.75","1,512.00","1,513.55","1,514.60","1,536.25","847.05",4307432,"6,52,40,19,566.00",116614
23-Aug-2024,EQ,"1,493.00","1,510.00","1,479.35","1,486.35","1,510.00","1,506.75","1,496.53","1,536.25","847.05",6238112,"9,33,54,93,519.10",176667
22-Aug-2024,EQ,"1,473.70","1,499.90","1,465.00","1,463.45","1,486.90","1,486.35","1,486.36","1,536.25","847.05",6781325,"10,07,95,14,201.05",237518
21-Aug-2024,EQ,"1,453.00","1,466.60","1,447.70","1,449.15","1,466.60","1,463.45","1,457.05","1,536.25","847.05",6175510,"8,99,80,24,468.00",193971
20-Aug-2024,EQ,"1,480.00","1,484.75","1,446.50","1,469.65","1,449.00","1,449.15","1,454.10","1,536.25","847.05",10046892,"14,60,92,24,549.20",205415
19-Aug-2024,EQ,"1,487.00","1,489.10","1,464.30","1,483.55","1,470.00","1,469.65","1,471.02","1,536.25","847.05",4404075,"6,47,85,02,561.20",186308
16-Aug-2024,EQ,"1,480.00","1,491.00","1,468.10","1,471.70","1,485.90","1,483.55","1,482.19","1,536.25","847.05",7176426,"10,63,68,44,703.65",226556
14-Aug-2024,EQ,"1,453.10","1,480.10","1,453.10","1,459.70","1,473.25","1,471.70","1,469.34","1,536.25","847.05",5891784,"8,65,70,47,426.05",210601
13-Aug-2024,EQ,"1,468.00","1,478.40","1,450.35","1,458.60","1,458.75","1,459.70","1,464.23","1,536.25","847.05",4495208,"6,58,20,39,897.40",230986
12-Aug-2024,EQ,"1,466.00","1,477.50","1,445.00","1,464.10","1,463.40","1,458.60","1,458.73","1,536.25","847.05",4028226,"5,87,60,78,202.10",152239
09-Aug-2024,EQ,"1,465.00","1,482.00","1,457.30","1,451.80","1,463.30","1,464.10","1,469.69","1,536.25","847.05",3615910,"5,31,42,56,491.30",191256
08-Aug-2024,EQ,"1,435.00","1,466.50","1,430.00","1,441.75","1,449.05","1,451.80","1,451.36","1,536.25","847.05",5986360,"8,68,83,69,190.55",241299
07-Aug-2024,EQ,"1,452.00","1,454.90","1,422.60","1,443.55","1,437.45","1,441.75","1,438.06","1,536.25","847.05",5700734,"8,19,79,71,710.80",240181
06-Aug-2024,EQ,"1,483.10","1,492.90","1,431.10","1,465.70","1,445.55","1,443.55","1,452.89","1,536.25","847.05",8249573,"11,98,56,92,004.55",273433
05-Aug-2024,EQ,"1,482.00","1,488.00","1,451.50","1,493.80","1,469.00","1,465.70","1,465.71","1,536.25","847.05",5111901,"7,49,25,55,994.65",237596
02-Aug-2024,EQ,"1,494.10","1,505.15","1,483.60","1,505.50","1,492.70","1,493.80","1,494.08","1,536.25","847.05",3335905,"4,98,41,15,358.15",144749
01-Aug-2024,EQ,"1,485.00","1,511.00","1,485.00","1,491.55","1,502.10","1,505.50","1,504.40","1,536.25","847.05",4531379,"6,81,70,00,498.05",242216
31-Jul-2024,EQ,"1,477.85","1,504.15","1,473.15","1,470.35","1,493.00","1,491.55","1,490.87","1,536.25","847.05",5634305,"8,39,99,92,828.65",221143
30-Jul-2024,EQ,"1,484.40","1,484.90","1,464.05","1,481.35","1,468.90","1,470.35","1,472.41","1,536.25","847.05",4263689,"6,27,79,16,506.95",135607
29-Jul-2024,EQ,"1,525.00","1,525.00","1,477.05","1,514.40","1,482.85","1,481.35","1,488.19","1,536.25","847.05",4589313,"6,82,97,68,789.40",166069
26-Jul-2024,EQ,"1,450.25","1,520.00","1,449.15","1,449.15","1,511.75","1,514.40","1,499.22","1,536.25","847.05",9564987,"14,33,99,89,863.50",315332
25-Jul-2024,EQ,"1,445.00","1,454.00","1,440.10","1,455.20","1,449.75","1,449.15","1,448.91","1,536.25","847.05",4277756,"6,19,80,77,834.90",147470
24-Jul-2024,EQ,"1,466.00","1,475.60","1,436.55","1,465.70","1,454.90","1,455.20","1,453.76","1,536.25","847.05",4529339,"6,58,45,75,989.40",190939
23-Jul-2024,EQ,"1,470.00","1,470.00","1,428.45","1,465.40","1,465.40","1,465.70","1,456.26","1,536.25","847.05",2936143,"4,27,57,79,944.95",147816
22-Jul-2024,EQ,"1,450.00","1,472.00","1,449.05","1,461.75","1,463.90","1,465.40","1,465.09","1,536.25","847.05",3560584,"5,21,65,92,684.80",205570
19-Jul-2024,EQ,"1,480.00","1,480.00","1,451.95","1,483.65","1,463.05","1,461.75","1,461.95","1,536.25","847.05",3858596,"5,64,10,85,230.60",166375
18-Jul-2024,EQ,"1,466.00","1,485.95","1,459.05","1,466.50","1,480.60","1,483.65","1,475.24","1,536.25","847.05",6470342,"9,54,52,97,101.90",268043
16-Jul-2024,EQ,"1,452.00","1,473.30","1,445.00","1,437.60","1,463.60","1,466.50","1,463.43","1,536.25","847.05",6967651,"10,19,66,70,529.45",193572
15-Jul-2024,EQ,"1,433.25","1,440.00","1,426.05","1,433.25","1,436.05","1,437.60","1,435.44","1,536.25","847.05",3324806,"4,77,25,55,198.85",163122
12-Jul-2024,EQ,"1,442.00","1,447.60","1,421.45","1,437.95","1,429.90","1,433.25","1,434.83","1,536.25","847.05",6342135,"9,09,98,68,179.45",231150
11-Jul-2024,EQ,"1,450.00","1,450.85","1,428.00","1,445.05","1,438.75","1,437.95","1,436.85","1,536.25","847.05",4178558,"6,00,39,64,241.80",175796
10-Jul-2024,EQ,"1,441.00","1,448.75","1,426.15","1,435.55","1,444.95","1,445.05","1,440.62","1,536.25","847.05",3416762,"4,92,22,63,197.90",163036
09-Jul-2024,EQ,"1,436.00","1,441.65","1,428.15","1,435.15","1,434.35","1,435.55","1,434.26","1,536.25","847.05",2897480,"4,15,57,30,776.55",122682
08-Jul-2024,EQ,"1,431.00","1,438.85","1,423.15","1,429.70","1,434.55","1,435.15","1,434.03","1,536.25","847.05",3261797,"4,67,75,15,531.00",100128
05-Jul-2024,EQ,"1,422.50","1,433.60","1,416.85","1,423.05","1,429.25","1,429.70","1,425.28","1,536.25","847.05",4881198,"6,95,70,49,989.80",190753
04-Jul-2024,EQ,"1,418.00","1,441.10","1,411.50","1,419.85","1,424.45","1,423.05","1,423.74","1,536.25","847.05",9570938,"13,62,65,07,680.95",271028
03-Jul-2024,EQ,"1,427.95","1,432.40","1,408.45","1,418.95","1,421.65","1,419.85","1,420.69","1,536.25","847.05",8261388,"11,73,69,00,893.75",360185
02-Jul-2024,EQ,"1,462.00","1,473.40","1,417.00","1,454.00","1,419.05","1,418.95","1,435.32","1,536.25","847.05",7792632,"11,18,49,42,511.95",315887
01-Jul-2024,EQ,"1,450.00","1,466.80","1,449.25","1,444.05","1,458.00","1,454.00","1,455.75","1,536.25","847.05",6011806,"8,75,17,08,327.75",234540
28-Jun-2024,EQ,"1,536.25","1,536.25","1,436.65","1,475.80","1,449.00","1,444.05","1,469.84","1,536.25","846.35",29145832,"42,83,96,96,769.10",639062
27-Jun-2024,EQ,"1,464.00","1,489.00","1,440.05","1,459.50","1,480.00","1,475.80","1,467.71","1,489.00","846.35",19675528,"28,87,80,01,926.50",375126
26-Jun-2024,EQ,"1,414.95","1,479.95","1,408.95","1,414.95","1,462.00","1,459.50","1,448.35","1,479.95","846.35",9579826,"13,87,49,33,244.65",251594
25-Jun-2024,EQ,"1,434.00","1,434.00","1,409.85","1,419.80","1,415.60","1,414.95","1,418.18","1,455.95","846.35",6353748,"9,01,07,46,033.70",167773
24-Jun-2024,EQ,"1,402.00","1,423.80","1,389.35","1,416.05","1,418.35","1,419.80","1,416.03","1,455.95","846.35",6195831,"8,77,34,81,017.60",153354
21-Jun-2024,EQ,"1,384.95","1,423.95","1,372.85","1,381.15","1,403.75","1,416.05","1,413.35","1,455.95","826.85",43929578,"62,08,77,86,596.50",440451
20-Jun-2024,EQ,"1,405.95","1,406.95","1,376.25","1,392.35","1,380.95","1,381.15","1,386.79","1,455.95","826.85",8742855,"12,12,45,17,992.70",200651
19-Jun-2024,EQ,"1,433.95","1,434.80","1,388.30","1,428.35","1,393.90","1,392.35","1,407.71","1,455.95","826.85",8640918,"12,16,38,82,182.85",266912
18-Jun-2024,EQ,"1,444.00","1,444.00","1,418.00","1,427.40","1,427.55","1,428.35","1,427.52","1,455.95","826.85",8671131,"12,37,81,85,076.50",294834
14-Jun-2024,EQ,"1,434.00","1,434.00","1,420.95","1,425.75","1,429.40","1,427.40","1,426.48","1,455.95","819.00",3978442,"5,67,51,58,029.25",177516
13-Jun-2024,EQ,"1,449.00","1,455.95","1,420.45","1,438.40","1,425.00","1,425.75","1,433.83","1,455.95","819.00",7990376,"11,45,68,55,785.80",300216
12-Jun-2024,EQ,"1,425.00","1,447.85","1,422.10","1,427.25","1,436.00","1,438.40","1,442.03","1,447.85","819.00",4876138,"7,03,15,30,760.05",198759
11-Jun-2024,EQ,"1,426.00","1,434.60","1,413.00","1,426.05","1,426.45","1,427.25","1,425.62","1,436.65","819.00",4416792,"6,29,66,78,087.40",150666
10-Jun-2024,EQ,"1,421.05","1,436.65","1,421.05","1,425.25","1,421.05","1,426.05","1,430.30","1,436.65","819.00",5318477,"7,60,70,28,700.55",240111
07-Jun-2024,EQ,"1,370.60","1,430.65","1,363.15","1,370.60","1,419.55","1,425.25","1,404.38","1,430.65","819.00",12280748,"17,24,68,14,225.75",425279
06-Jun-2024,EQ,"1,359.00","1,376.25","1,329.00","1,344.35","1,374.00","1,370.60","1,358.14","1,420.45","819.00",10279789,"13,96,13,95,349.75",452137
05-Jun-2024,EQ,"1,325.65","1,348.75","1,279.85","1,299.70","1,344.10","1,344.35","1,322.67","1,420.45","819.00",12175520,"16,10,41,99,442.95",632998
04-Jun-2024,EQ,"1,391.10","1,397.00","1,219.05","1,391.10","1,291.95","1,299.70","1,309.16","1,420.45","819.00",19924421,"26,08,43,27,621.20",461290
03-Jun-2024,EQ,"1,415.30","1,420.45","1,385.00","1,372.75","1,400.00","1,391.10","1,396.81","1,420.45","819.00",6017122,"8,40,47,90,074.05",229426
31-May-2024,EQ,"1,380.00","1,388.00","1,338.00","1,377.15","1,370.05","1,372.75","1,364.59","1,407.00","812.80",24825643,"33,87,69,45,475.10",354052
30-May-2024,EQ,"1,378.80","1,386.45","1,363.50","1,377.10","1,381.55","1,377.15","1,376.86","1,407.00","812.80",7100303,"9,77,61,55,940.95",227867
29-May-2024,EQ,"1,355.50","1,390.25","1,355.50","1,371.05","1,374.50","1,377.10","1,375.05","1,407.00","812.80",4445083,"6,11,22,13,290.30",166495
28-May-2024,EQ,"1,384.80","1,386.95","1,366.90","1,384.35","1,369.50","1,371.05","1,375.70","1,407.00","812.80",2068963,"2,84,62,66,079.85",104100
27-May-2024,EQ,"1,396.00","1,407.00","1,378.00","1,388.50","1,380.40","1,384.35","1,392.56","1,407.00","812.80",6553974,"9,12,67,74,633.40",212848
24-May-2024,EQ,"1,375.50","1,397.75","1,374.05","1,374.05","1,389.50","1,388.50","1,388.97","1,397.75","795.00",5622368,"7,80,92,76,082.05",196086
23-May-2024,EQ,"1,350.75","1,377.30","1,344.30","1,347.90","1,375.50","1,374.05","1,366.50","1,377.30","795.00",7147341,"9,76,68,54,002.40",224269
22-May-2024,EQ,"1,342.15","1,351.00","1,329.55","1,344.30","1,347.00","1,347.90","1,339.77","1,362.75","795.00",3026723,"4,05,51,21,982.05",166673
21-May-2024,EQ,"1,356.00","1,362.75","1,335.75","1,347.75","1,338.70","1,344.30","1,351.15","1,362.75","795.00",5422220,"7,32,62,13,760.15",187385
18-May-2024,EQ,"1,347.95","1,351.00","1,341.45","1,344.45","1,350.00","1,347.75","1,347.30","1,360.00","783.90",149406,"20,12,94,435.35",5619
17-May-2024,EQ,"1,353.60","1,360.00","1,339.25","1,345.10","1,345.80","1,344.45","1,348.93","1,360.00","783.90",6614017,"8,92,18,52,706.70",181876
16-May-2024,EQ,"1,328.00","1,356.85","1,321.30","1,309.90","1,344.00","1,345.10","1,338.89","1,356.85","783.90",11932181,"15,97,59,34,431.10",270107
15-May-2024,EQ,"1,281.55","1,318.25","1,280.50","1,284.30","1,316.00","1,309.90","1,298.97","1,354.00","783.90",6891004,"8,95,12,01,318.25",168872
14-May-2024,EQ,"1,290.55","1,299.90","1,280.70","1,285.95","1,287.05","1,284.30","1,287.29","1,354.00","783.90",3262908,"4,20,03,00,657.45",113770
13-May-2024,EQ,"1,301.15","1,302.90","1,281.40","1,301.15","1,288.00","1,285.95","1,289.38","1,354.00","783.90",3703942,"4,77,57,88,559.70",118693
10-May-2024,EQ,"1,275.05","1,308.50","1,271.75","1,275.45","1,299.00","1,301.15","1,297.57","1,354.00","783.70",5532513,"7,17,88,47,181.50",183212
