DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Mar-2021,EQ,"135.60","136.65","134.10","135.65","135.10","135.25","135.65","163.00","109.55",8887103,"1,20,55,34,913.35",46310
22-Mar-2021,EQ,"137.60","137.60","135.30","136.30","135.60","135.65","136.01","163.00","109.55",11414253,"1,55,25,05,477.00",51844
19-Mar-2021,EQ,"136.00","140.00","133.50","137.05","136.40","136.30","136.98","163.00","109.55",33294812,"4,56,06,62,941.40",102195
18-Mar-2021,EQ,"141.50","141.75","136.20","139.85","137.50","137.05","138.29","163.00","109.55",14401450,"1,99,15,04,802.80",74671
17-Mar-2021,EQ,"145.05","145.45","139.50","145.70","139.75","139.85","141.98","163.00","109.55",15554810,"2,20,84,68,663.20",84437
16-Mar-2021,EQ,"147.00","148.05","144.60","146.90","145.85","145.70","145.77","163.00","109.55",11857531,"1,72,85,24,008.65",53494
15-Mar-2021,EQ,"146.45","147.60","144.75","150.50","146.80","146.90","146.06","163.00","109.55",15784630,"2,30,54,88,739.35",84694
12-Mar-2021,EQ,"152.00","153.00","149.00","150.95","150.85","150.50","151.22","169.90","109.55",14835735,"2,24,34,01,242.95",72067
10-Mar-2021,EQ,"153.05","153.25","149.40","151.70","151.35","150.95","150.55","169.90","109.55",10788943,"1,62,42,43,877.25",56698
09-Mar-2021,EQ,"154.95","154.95","148.50","153.15","151.90","151.70","151.59","169.90","109.55",14621175,"2,21,63,70,505.05",70349
08-Mar-2021,EQ,"153.90","156.00","152.35","151.10","153.40","153.15","154.06","169.90","109.55",18727656,"2,88,51,34,243.10",92912
05-Mar-2021,EQ,"152.00","152.70","149.70","152.05","151.70","151.10","151.23","180.20","109.55",17323282,"2,61,98,00,695.10",72443
04-Mar-2021,EQ,"154.00","154.90","151.70","154.90","152.20","152.05","152.65","180.20","109.55",17162557,"2,61,99,41,469.70",86898
03-Mar-2021,EQ,"155.00","157.30","153.80","153.40","154.90","154.90","155.31","180.20","109.55",17610904,"2,73,52,20,148.00",96850
02-Mar-2021,EQ,"154.35","156.15","152.50","154.35","153.65","153.40","154.13","180.20","109.55",17565134,"2,70,72,99,695.00",99881
01-Mar-2021,EQ,"155.50","157.10","153.70","152.20","154.65","154.35","154.95","180.20","109.55",22306110,"3,45,64,12,057.10",113465
26-Feb-2021,EQ,"156.15","163.00","150.50","156.10","151.80","152.20","155.14","180.20","109.55",94115857,"14,60,15,88,401.90",351215
25-Feb-2021,EQ,"146.90","157.70","145.75","144.40","156.90","156.10","152.65","180.20","109.55",85580477,"13,06,41,29,136.50",310743
24-Feb-2021,EQ,"139.95","145.00","139.50","136.90","144.10","144.40","142.93","180.20","109.55",38775957,"5,54,22,41,831.60",158413
23-Feb-2021,EQ,"137.60","138.60","136.20","136.25","136.90","136.90","137.33","180.20","109.55",19178437,"2,63,37,21,989.20",67826
22-Feb-2021,EQ,"138.85","139.40","135.10","139.25","136.05","136.25","136.55","180.20","109.55",20401387,"2,78,58,29,971.45",74554
19-Feb-2021,EQ,"139.95","143.20","137.25","139.95","139.00","139.25","140.25","180.25","109.55",22944780,"3,21,80,52,089.40",97455
18-Feb-2021,EQ,"135.00","141.20","134.05","135.20","140.00","139.95","138.49","180.25","109.55",22069738,"3,05,63,55,931.25",84255
17-Feb-2021,EQ,"133.30","135.75","132.90","133.75","135.40","135.20","134.69","180.25","109.55",8950258,"1,20,55,02,040.05",41784
16-Feb-2021,EQ,"132.30","135.40","132.30","132.25","134.00","133.75","134.08","180.25","109.55",11735144,"1,57,33,91,608.30",53471
15-Feb-2021,EQ,"134.50","134.85","132.00","133.85","132.25","132.25","132.81","180.25","109.55",10557047,"1,40,20,78,090.40",61774
12-Feb-2021,EQ,"136.50","137.00","132.75","137.15","133.95","133.85","134.15","185.00","109.55",16453706,"2,20,72,22,103.30",87293
11-Feb-2021,EQ,"138.30","139.50","136.00","138.30","136.85","137.15","137.92","185.00","109.55",14150298,"1,95,16,31,040.35",70430
10-Feb-2021,EQ,"139.90","140.55","136.80","139.25","138.70","138.30","137.98","185.00","109.55",8709612,"1,20,17,95,501.75",53694
09-Feb-2021,EQ,"141.50","143.45","138.70","141.55","139.40","139.25","141.42","185.00","109.55",8579689,"1,21,33,80,414.25",49493
08-Feb-2021,EQ,"141.05","142.40","140.30","140.85","141.30","141.55","141.49","185.00","109.55",11810439,"1,67,10,21,581.55",50738
05-Feb-2021,EQ,"144.10","144.30","139.35","143.60","140.80","140.85","141.42","186.05","109.55",19930467,"2,81,84,77,137.20",81218
04-Feb-2021,EQ,"137.90","144.25","136.80","137.25","143.30","143.60","141.94","186.05","109.55",30751754,"4,36,49,43,906.35",137727
03-Feb-2021,EQ,"131.25","138.00","131.25","131.25","137.00","137.25","135.34","186.05","109.55",25483402,"3,44,89,02,518.90",95262
02-Feb-2021,EQ,"131.00","132.85","129.65","129.00","131.90","131.25","131.30","186.05","109.55",15485139,"2,03,32,51,741.25",88444
01-Feb-2021,EQ,"126.40","129.75","125.85","125.90","129.30","129.00","127.82","186.05","109.55",12808349,"1,63,72,13,543.75",55486
29-Jan-2021,EQ,"129.25","129.65","125.25","128.20","126.00","125.90","127.82","195.00","109.55",15268785,"1,95,16,60,897.85",62235
28-Jan-2021,EQ,"128.00","129.95","127.80","129.15","128.45","128.20","128.77","195.00","109.55",11970139,"1,54,14,21,305.45",70998
27-Jan-2021,EQ,"132.00","132.55","128.70","131.85","129.25","129.15","130.36","195.00","109.55",11638766,"1,51,72,19,352.65",63223
25-Jan-2021,EQ,"134.90","135.50","130.85","133.20","131.50","131.85","132.70","195.00","109.55",10157077,"1,34,78,32,035.85",66798
22-Jan-2021,EQ,"137.35","137.80","132.50","137.35","133.55","133.20","134.55","209.80","109.55",14810848,"1,99,28,52,347.60",80902
21-Jan-2021,EQ,"142.00","142.15","136.55","141.50","137.80","137.35","139.37","209.80","109.55",10828875,"1,50,92,00,605.95",63998
20-Jan-2021,EQ,"140.50","141.95","138.65","140.10","141.15","141.50","140.08","209.80","109.55",11820498,"1,65,57,89,476.30",47055
19-Jan-2021,EQ,"140.85","141.90","139.60","138.70","140.50","140.10","140.66","209.80","109.55",8951075,"1,25,90,41,398.65",48877
18-Jan-2021,EQ,"143.30","143.90","136.60","143.25","138.05","138.70","138.99","209.80","109.55",17085592,"2,37,47,68,894.10",86603
15-Jan-2021,EQ,"146.80","147.60","142.35","146.65","143.55","143.25","144.83","214.60","109.55",10647008,"1,54,19,69,378.45",56384
14-Jan-2021,EQ,"146.60","148.20","144.85","145.80","147.10","146.65","146.84","214.60","109.55",14755992,"2,16,67,11,851.55",91577
13-Jan-2021,EQ,"148.50","148.80","143.50","146.65","145.55","145.80","146.75","214.60","109.55",21154236,"3,10,44,63,249.00",93307
12-Jan-2021,EQ,"142.50","147.55","141.70","141.70","146.80","146.65","145.41","214.60","109.55",28433070,"4,13,44,43,936.55",158349
11-Jan-2021,EQ,"140.50","143.00","140.30","139.70","141.80","141.70","141.80","214.60","109.55",24790683,"3,51,53,17,102.10",111880
08-Jan-2021,EQ,"137.10","140.95","137.10","136.50","139.70","139.70","139.74","214.60","109.55",27964099,"3,90,77,29,749.85",163024
07-Jan-2021,EQ,"136.50","137.50","135.50","135.10","136.50","136.50","136.29","214.60","109.55",17298525,"2,35,75,82,244.30",83089
06-Jan-2021,EQ,"135.40","137.30","133.80","135.15","135.00","135.10","135.57","214.60","109.55",14133415,"1,91,60,62,213.10",60724
05-Jan-2021,EQ,"136.75","136.75","134.40","137.25","135.15","135.15","135.12","214.60","109.55",12371842,"1,67,16,42,228.90",64308
04-Jan-2021,EQ,"136.85","137.75","135.80","135.35","137.35","137.25","136.85","214.60","109.55",11669647,"1,59,69,91,008.55",49612
01-Jan-2021,EQ,"135.40","136.25","135.05","135.45","135.50","135.35","135.51","214.60","109.55",6995084,"94,79,38,204.55",42330
